db-1  | 
db-1  | PostgreSQL Database directory appears to contain a database; Skipping initialization
db-1  | 
db-1  | 2026-02-09 18:27:51.528 UTC [1] LOG:  starting PostgreSQL 15.15 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
db-1  | 2026-02-09 18:27:51.528 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
db-1  | 2026-02-09 18:27:51.528 UTC [1] LOG:  listening on IPv6 address "::", port 5432
db-1  | 2026-02-09 18:27:51.533 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
db-1  | 2026-02-09 18:27:51.541 UTC [28] LOG:  database system was shut down at 2026-02-09 18:14:49 UTC
db-1  | 2026-02-09 18:27:51.553 UTC [1] LOG:  database system is ready to accept connections
db-1  | 2026-02-09 18:32:51.553 UTC [26] LOG:  checkpoint starting: time
db-1  | 2026-02-09 18:32:53.219 UTC [26] LOG:  checkpoint complete: wrote 18 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.656 s, sync=0.007 s, total=1.667 s; sync files=13, longest=0.006 s, average=0.001 s; distance=42 kB, estimate=42 kB
db-1  | 2026-02-09 18:37:51.246 UTC [26] LOG:  checkpoint starting: time
db-1  | 2026-02-09 18:37:51.359 UTC [26] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.104 s, sync=0.003 s, total=0.114 s; sync files=2, longest=0.002 s, average=0.002 s; distance=7 kB, estimate=39 kB
db-1  | 2026-02-09 18:42:51.450 UTC [26] LOG:  checkpoint starting: time
db-1  | 2026-02-09 18:42:51.570 UTC [26] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.107 s, sync=0.002 s, total=0.121 s; sync files=2, longest=0.001 s, average=0.001 s; distance=7 kB, estimate=35 kB
db-1  | 2026-02-09 18:47:51.610 UTC [26] LOG:  checkpoint starting: time
db-1  | 2026-02-09 18:47:51.721 UTC [26] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.105 s, sync=0.002 s, total=0.112 s; sync files=2, longest=0.001 s, average=0.001 s; distance=7 kB, estimate=33 kB
db-1  | 2026-02-09 18:52:51.770 UTC [26] LOG:  checkpoint starting: time
db-1  | 2026-02-09 18:52:51.890 UTC [26] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.106 s, sync=0.005 s, total=0.120 s; sync files=2, longest=0.004 s, average=0.003 s; distance=7 kB, estimate=30 kB
db-1  | 2026-02-09 18:57:51.949 UTC [26] LOG:  checkpoint starting: time
db-1  | 2026-02-09 18:57:52.072 UTC [26] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.105 s, sync=0.003 s, total=0.123 s; sync files=2, longest=0.002 s, average=0.002 s; distance=5 kB, estimate=28 kB
db-1  | 2026-02-09 18:58:05.142 UTC [61] ERROR:  column "reviewed_by_user_id" is of type uuid but expression is of type integer at character 90
db-1  | 2026-02-09 18:58:05.142 UTC [61] HINT:  You will need to rewrite or cast the expression.
db-1  | 2026-02-09 18:58:05.142 UTC [61] STATEMENT:  UPDATE assignment_documents SET review_status='NEEDS_CLARIFICATION', reviewed_by_user_id=29, reviewed_at='2026-02-09T18:58:05.139647'::timestamp, updated_at='2026-02-09T18:58:05.141828+00:00'::timestamptz WHERE assignment_documents.id = 16
db-1  | 2026-02-09 19:02:51.130 UTC [26] LOG:  checkpoint starting: time
db-1  | 2026-02-09 19:02:51.987 UTC [26] LOG:  checkpoint complete: wrote 9 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.842 s, sync=0.006 s, total=0.858 s; sync files=9, longest=0.004 s, average=0.001 s; distance=38 kB, estimate=38 kB
db-1  | 2026-02-09 19:03:44.724 UTC [1796] FATAL:  password authentication failed for user "zenops"
db-1  | 2026-02-09 19:03:44.724 UTC [1796] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
db-1  | 2026-02-09 19:03:44.731 UTC [1797] FATAL:  password authentication failed for user "zenops"
db-1  | 2026-02-09 19:03:44.731 UTC [1797] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
db-1  | 2026-02-09 19:03:47.803 UTC [1805] FATAL:  password authentication failed for user "zenops"
db-1  | 2026-02-09 19:03:47.803 UTC [1805] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
db-1  | 2026-02-09 19:03:47.804 UTC [1806] FATAL:  password authentication failed for user "zenops"
db-1  | 2026-02-09 19:03:47.804 UTC [1806] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
db-1  | 2026-02-09 19:04:26.987 UTC [1840] FATAL:  password authentication failed for user "zenops"
db-1  | 2026-02-09 19:04:26.987 UTC [1840] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
db-1  | 2026-02-09 19:04:27.063 UTC [1841] FATAL:  password authentication failed for user "zenops"
db-1  | 2026-02-09 19:04:27.063 UTC [1841] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
db-1  | 2026-02-09 19:04:27.066 UTC [1842] FATAL:  password authentication failed for user "zenops"
db-1  | 2026-02-09 19:04:27.066 UTC [1842] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
db-1  | 2026-02-09 19:05:33.252 UTC [1899] FATAL:  password authentication failed for user "zenops"
db-1  | 2026-02-09 19:05:33.252 UTC [1899] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
db-1  | 2026-02-09 19:05:33.353 UTC [1900] FATAL:  password authentication failed for user "zenops"
db-1  | 2026-02-09 19:05:33.353 UTC [1900] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
db-1  | 2026-02-09 19:07:52.000 UTC [26] LOG:  checkpoint starting: time
db-1  | 2026-02-09 19:07:52.112 UTC [26] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.104 s, sync=0.003 s, total=0.113 s; sync files=2, longest=0.002 s, average=0.002 s; distance=5 kB, estimate=34 kB
db-1  | 2026-02-09 19:12:52.204 UTC [26] LOG:  checkpoint starting: time
db-1  | 2026-02-09 19:12:52.528 UTC [26] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 1 recycled; write=0.310 s, sync=0.004 s, total=0.325 s; sync files=3, longest=0.004 s, average=0.002 s; distance=5 kB, estimate=32 kB
db-1  | 2026-02-09 19:17:52.529 UTC [26] LOG:  checkpoint starting: time
db-1  | 2026-02-09 19:17:52.645 UTC [26] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.107 s, sync=0.004 s, total=0.116 s; sync files=2, longest=0.003 s, average=0.002 s; distance=5 kB, estimate=29 kB
db-1  | 2026-02-09 19:22:52.695 UTC [26] LOG:  checkpoint starting: time
db-1  | 2026-02-09 19:22:52.815 UTC [26] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.108 s, sync=0.003 s, total=0.120 s; sync files=2, longest=0.002 s, average=0.002 s; distance=5 kB, estimate=27 kB
