grafana-1  | logger=cleanup t=2026-02-10T02:37:23.679430429Z level=info msg="Completed cleanup jobs" duration=23.015708ms
grafana-1  | logger=grafana.update.checker t=2026-02-10T02:37:24.464410346Z level=info msg="Update check succeeded" duration=351.352501ms
grafana-1  | logger=plugins.update.checker t=2026-02-10T02:37:24.468097096Z level=info msg="Update check succeeded" duration=352.929542ms
grafana-1  | logger=cleanup t=2026-02-10T02:47:23.68045597Z level=info msg="Completed cleanup jobs" duration=28.751542ms
grafana-1  | logger=plugins.update.checker t=2026-02-10T02:47:24.476630721Z level=info msg="Update check succeeded" duration=366.093626ms
grafana-1  | logger=grafana.update.checker t=2026-02-10T02:47:24.501422929Z level=info msg="Update check succeeded" duration=391.017375ms
grafana-1  | logger=infra.usagestats t=2026-02-10T02:49:05.684328295Z level=info msg="Usage stats are ready to report"
grafana-1  | logger=cleanup t=2026-02-10T02:57:23.676543845Z level=info msg="Completed cleanup jobs" duration=22.446417ms
grafana-1  | logger=plugins.update.checker t=2026-02-10T02:57:24.539997095Z level=info msg="Update check succeeded" duration=426.95325ms
grafana-1  | logger=grafana.update.checker t=2026-02-10T02:57:24.541214304Z level=info msg="Update check succeeded" duration=428.285875ms
grafana-1  | logger=cleanup t=2026-02-10T03:07:23.670804845Z level=info msg="Completed cleanup jobs" duration=15.89475ms
grafana-1  | logger=grafana.update.checker t=2026-02-10T03:07:24.494385595Z level=info msg="Update check succeeded" duration=378.693333ms
grafana-1  | logger=plugins.update.checker t=2026-02-10T03:07:24.517840179Z level=info msg="Update check succeeded" duration=402.246583ms
grafana-1  | logger=cleanup t=2026-02-10T03:17:23.685625678Z level=info msg="Completed cleanup jobs" duration=22.966167ms
grafana-1  | logger=plugins.update.checker t=2026-02-10T03:17:24.558580929Z level=info msg="Update check succeeded" duration=437.006417ms
grafana-1  | logger=grafana.update.checker t=2026-02-10T03:17:24.559255095Z level=info msg="Update check succeeded" duration=443.861001ms
grafana-1  | logger=infra.usagestats t=2026-02-10T03:19:05.696619211Z level=info msg="Usage stats are ready to report"
grafana-1  | logger=cleanup t=2026-02-10T03:27:23.68873647Z level=info msg="Completed cleanup jobs" duration=23.606667ms
grafana-1  | logger=grafana.update.checker t=2026-02-10T03:27:24.510699387Z level=info msg="Update check succeeded" duration=395.831833ms
grafana-1  | logger=plugins.update.checker t=2026-02-10T03:27:24.511231595Z level=info msg="Update check succeeded" duration=396.286667ms
