grafana-1  | logger=settings t=2026-02-09T18:30:39.979541968Z level=info msg="Starting Grafana" version=10.3.3 commit=252761264e22ece57204b327f9130d3b44592c01 branch=HEAD compiled=2026-02-09T18:30:39Z
grafana-1  | logger=settings t=2026-02-09T18:30:39.979976134Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
grafana-1  | logger=settings t=2026-02-09T18:30:39.979996634Z level=info msg="Config loaded from" file=/etc/grafana/grafana.ini
grafana-1  | logger=settings t=2026-02-09T18:30:39.979998884Z level=info msg="Config overridden from command line" arg="default.paths.data=/var/lib/grafana"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980000968Z level=info msg="Config overridden from command line" arg="default.paths.logs=/var/log/grafana"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980002551Z level=info msg="Config overridden from command line" arg="default.paths.plugins=/var/lib/grafana/plugins"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980004009Z level=info msg="Config overridden from command line" arg="default.paths.provisioning=/etc/grafana/provisioning"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980005468Z level=info msg="Config overridden from command line" arg="default.log.mode=console"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980007134Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_DATA=/var/lib/grafana"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980009259Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_LOGS=/var/log/grafana"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980010718Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PLUGINS=/var/lib/grafana/plugins"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980012509Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PROVISIONING=/etc/grafana/provisioning"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980014051Z level=info msg="Config overridden from Environment variable" var="GF_SERVER_ROOT_URL=http://localhost:3000"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980015676Z level=info msg="Config overridden from Environment variable" var="GF_SECURITY_ADMIN_USER=admin"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980017176Z level=info msg="Config overridden from Environment variable" var="GF_SECURITY_ADMIN_PASSWORD=*********"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980018634Z level=info msg="Config overridden from Environment variable" var="GF_USERS_ALLOW_SIGN_UP=false"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980020093Z level=info msg="Config overridden from Environment variable" var="GF_FEATURE_TOGGLES_ENABLE=traceqlEditor"
grafana-1  | logger=settings t=2026-02-09T18:30:39.980022176Z level=info msg=Target target=[all]
grafana-1  | logger=settings t=2026-02-09T18:30:39.980033759Z level=info msg="Path Home" path=/usr/share/grafana
grafana-1  | logger=settings t=2026-02-09T18:30:39.980035676Z level=info msg="Path Data" path=/var/lib/grafana
